Titulo,Reclamação,Status,Data,Localidade
Mudança de plano," Boa noite ! Há mais ou menos 2 meses atrás tive problemas financeiro e infelizmente atrasei algumas contas da vivo , m... ",Não respondida,29/10/2019,São João da Boa Vista 
Serviço Técnico nao realizado, #vivoSai do trabalho as 15:30.Perdi um período.Fiquei aguardando um técnico a partir das 16:30.... ,Não respondida,29/10/2019,São Paulo 
Cobrança indevida ," Solicitei a devolução do valor de R$39,99 referente a vivo travel no dia 29/10/2019 protocolo 20196632251270 atendente... ",Não respondida,29/10/2019,Não identificado
Estou sendo explorado e furtado pelo VIVO," No mês de junho meu plano expirou-se em menos de 10 dias, reclamei sem sucesso, suspendi o pagamento de 06 de julho e ... ",Não respondida,29/10/2019, Pirapora do Bom Jesus 
"Internet instável, sinal horrível, vive caindo"," A muito tempo a internet de casa vive caindo vive caindo, sinal horrível, muito instável, acho um absurdo uma operador... ",Não respondida,29/10/2019, São Paulo 
NOME NEGATIVADO INDEVIDAMENTE, Me chamo Camila e recentemente fiz uma consulta simples no SERASA onde consta a informação que meu nome foi negativado... ,Não respondida,29/10/2019, São Caetano do Sul 
"DESCASO, MENTIRA E DESORGANIZAÇÃO"," ME CHAMO ANDRESA BASILIO,DESCASO, MENTIRA E DESORGANIZAÇÃO! PARECECE ATÉ O REVERSO DO QUE PODERIA FAZER PA... ",Não respondida,29/10/2019, São Paulo 
Pagamento efetuado e nao registrado," No dia 09/10 fiz o pagamento de 3 debitos relacionados ao meu cpf de uma conta vivo fixo, via canal vivoregularizafaci... ",Não respondida,29/10/2019, Goiânia 
dedução indevida de diárias Vivo Easy," Primeiramente gostaria de dizer que, a idéia do plano é ótima, porém estou tendo diárias de YouTube deduzidas indevida... ",Não respondida,29/10/2019, Itapevi 
Devolução , Fui na loja da vivo fui atendido pela atendente Luana foi solicitado a portarbilidade a mesma mandou aguardar três dia... ,Não respondida,29/10/2019, São Paulo 
Essa gravação eletrônica que um lixo," não da para falar com a vivo, só cai na secretaria eletrônica deles que não ajuda para nada.Paguei o Vivo controle e t... ",Não respondida,30/10/2019, São Paulo 
Vivo fibra," Tinha uma assinatura de internet em meu nome, no mês de julho sai da casa dos meus pais e liguei na vivo e pedi transf... ",Não respondida,30/10/2019, São Paulo 
Cobrança de valor sem o desconto previamente acordado.," Em agosto entrei em contato com a empresa, sabendo que o período de um ano de desconto estaria terminando, querendo re... ",Não respondida,30/10/2019, São Paulo 
Cancelamento por mudança de endereço.," Tenho dois planos de internet fixa no CNPJ de minha esposa, na cidade onde moro atualmente. Porém a internet no endere... ",Não respondida,30/10/2019, Juiz de Fora 
Internet não funciona," Gostaria de uma resolução definitiva para com a minha internet, pois toda vez que chove na minha cidade, ela para de f... ",Não respondida,30/10/2019, São Manuel 
CONTRATEI UMA COISA E ENTREGARAM OUTRA! INTERNET HORRIVEL!!!!!!!," Quando contratei o plano, me disseram que a primeira fatura só iria chegar depois de um mês de uso, e agora entrei no ... ",Não respondida,30/10/2019, Belo Horizonte 
ESTOU SEM TELEFONE FIXO DESDE O DIA 18/10/2019, Desde o dia 18/10/2019 meu telefone fixo ficou mudo. Desde então tenho ligado todos os dias para 10315 onde passo pela... ,Não respondida,30/10/2019, Mongaguá 
Perturbação diária," Estou recebendo mensagens, ligações em nome de António Carlos Domingos, isso já tem um tempo, no meu número da operado... ",Não respondida,30/10/2019, São Paulo 
